date;site;point1;point2;measure;value;p.rand.inf;p.rand.sup;mean.rand;up.rand;low.rand
2017-07-16;david;day;night;social_differentiation;0,72188825;0,95;0,05;0,4924680639041;0,524164270859348;0,460771856948852
2017-07-16;david;day;night;association_stability;0,415012798569536;1;0;0,153459146237543;0,170761974427807;0,136156318047279
2017-07-16;arugot;night;day;size_com;0;0;1;4,75359899114169;4,95123128051924;4,55596670176413
2017-07-16;arugot;night;day;modularity_can;0,0323758999999999;0,11;0,89;0,10453669347;0,116313555201404;0,0927598317385956
2017-07-16;arugot;night;day;transitivity_can;0,0428571;0,09;0,91;0,167930494;0,185934649314989;0,149926338685011
2017-07-16;arugot;night;day;transitivity_com;NA;1;1;NA;NA;NA
2017-07-16;arugot;night;day;density_can;0,02631579;0;1;0,0738421087;0,0771024370889424;0,0705817803110576
2017-07-16;arugot;night;day;density_com;0,0023989900000001;0,01;0,99;0,21383364268338;0,220707906080194;0,206959379286566
2017-07-16;arugot;night;day;deg_assor_can;0,1761904;0,76;0,24;0,1278845203;0,154319965981011;0,101449074618989
2017-07-16;arugot;night;day;deg_assor_com;NA;1;1;NA;NA;NA
2017-07-16;arugot;night;day;sex_assor_can;0,6505367;0,94;0,0600000000000001;0,291854264;0,334774768771993;0,248933759228007
2017-07-16;arugot;night;day;sex_assor_com;NA;1;1;NA;NA;NA
2017-07-16;arugot;night;day;wei_assor_can;0,278561105;0,12;0,88;0,52008360624;0,562293937940893;0,477873274539107
2017-07-16;arugot;night;day;wei_assor_com;0,0379906249999999;0,01;0,99;0,396880559822259;0,406774621963241;0,386986497681277
2017-07-16;arugot;night;day;degree;1;0;1;1,86;1,95636434767665;1,76363565232335
2017-07-16;arugot;night;day;local_clustering;0,466666665;1;0;0,27053827612;0,284332208274006;0,256744343965994
2017-07-16;arugot;night;day;strength;24,313441;0,98;0,02;17,07463852735;18,0039312051643;16,1453458495357
2017-07-16;arugot;night;day;eigen;13,50214765;0;1;41,044376548081;42,6484178421796;39,4403352539824
2017-07-16;arugot;night;day;betweenness;8,33333335;0,1;0,9;19,0884985854237;20,4111396957842;17,7658574750632
2017-07-16;arugot;night;day;social_differentiation;0,739866105;0,99;0,01;0,27272828320395;0,292379499680107;0,253077066727793
