X,Y,R.mantel,P.mantel,R.cosine,P.cosine,P.transform,P.adjust,class.w
5,40,0.834845946222303,0.9,0.840155581894956,0.9,0.1,0.105527638190955,white
5,45,0.816434815695147,0.93,0.82165979795458,0.93,0.07,0.0777777777777778,white
5,50,0.806700735339822,0.94,0.811900295064652,0.94,0.0600000000000001,0.0692307692307693,white
5,55,0.802559926863824,0.92,0.807802395049039,0.92,0.08,0.087958115183246,white
5,60,0.798378307931289,0.94,0.803650370299696,0.94,0.0600000000000001,0.0692307692307693,white
5,65,0.798042829686787,0.93,0.80328526265392,0.93,0.07,0.0777777777777778,white
5,70,0.794432114954854,0.93,0.799740245522513,0.93,0.07,0.0777777777777778,white
5,75,0.793649990084986,0.95,0.79894860877295,0.95,0.05,0.0583333333333334,white
5,80,0.777258629477637,0.94,0.78272834203823,0.93,0.07,0.0777777777777778,white
5,85,0.776693702754421,0.92,0.782132431251829,0.92,0.08,0.087958115183246,white
5,90,0.762963686722903,0.98,0.76845730524009,0.98,0.02,0.0270967741935484,tomato
5,95,0.767535162113472,0.97,0.77297931557852,0.97,0.03,0.0384146341463415,tomato
5,100,0.777070575324425,0.98,0.782351774012246,0.98,0.02,0.0270967741935484,tomato
10,15,0.884031680436697,0.27,0.888164074765619,0.26,0.26,0.26504854368932,white
10,20,0.882487671275083,0.61,0.886562341270786,0.59,0.41,0.413942307692308,white
10,25,0.86152134572991,0.95,0.866658318415482,0.95,0.05,0.0583333333333334,white
10,30,0.850244437760097,0.97,0.855451028023592,0.97,0.03,0.0384146341463415,tomato
10,35,0.83921353583208,0.97,0.844493722274293,0.95,0.05,0.0583333333333334,white
10,40,0.835262970356561,0.96,0.840594091353926,0.96,0.04,0.0491228070175439,tomato
10,45,0.81930026247635,1,0.824508142044081,1,0,0,tomato
10,50,0.809337634109258,0.99,0.81454729354901,0.99,0.01,0.0148936170212766,tomato
10,55,0.80547250662743,1,0.810718531604288,1,0,0,tomato
10,60,0.802583708706481,0.99,0.80781981939847,0.99,0.01,0.0148936170212766,tomato
10,65,0.802703769186059,1,0.807898162490204,1,0,0,tomato
10,70,0.799503462782098,1,0.804749642906468,1,0,0,tomato
10,75,0.799105927881326,1,0.804331841858718,1,0,0,tomato
10,80,0.785179217057457,1,0.790504319127205,1,0,0,tomato
