"","X","Y","R.cosine.w","P.cosine.w","R.cosine.b","P.cosine.b","P.transform","P.adjust","class.w","class.b"
"81",2017-07-14 23:00:00,2017-07-27 23:00:00,0.352664640002249,0.98,0.668153104781061,1,0,0,"tomato","tomato"
"82",2017-07-14 23:00:00,2017-07-28 11:00:00,0.297269837834844,0.8,0.670820393249937,1,0,0,"white","tomato"
"83",2017-07-14 23:00:00,2017-07-28 23:00:00,0.329073484733515,0.86,0.5,0.93,0.07,0.0812358703843256,"white","white"
"84",2017-07-14 23:00:00,2017-07-29 11:00:00,0.304631994978669,0.24,0.677671845685493,0.97,0.03,0.0371980676328503,"white","tomato"
"85",2017-07-14 23:00:00,2017-07-29 23:00:00,0.620045662408465,0.83,0.721687836487032,1,0,0,"white","tomato"
"86",2017-07-14 23:00:00,2017-07-30 11:00:00,0.406185136523046,0.01,0.58925565098879,0.88,0.12,0.133526011560694,"cornflowerblue","white"
"87",2017-07-14 23:00:00,2017-07-30 23:00:00,0.273158200336414,1,0.433012701892219,0.94,0.0600000000000001,0.0702661596958176,"tomato","white"
"88",2017-07-14 23:00:00,2017-07-31 11:00:00,0.331479125897283,0.9,0.692902328155734,1,0,0,"white","tomato"
"89",2017-07-14 23:00:00,2017-07-31 23:00:00,0.313783923850801,0.91,0.441941738241592,0.91,0.09,0.10259067357513,"white","white"
"90",2017-07-14 23:00:00,2017-08-01 11:00:00,0.232267166222885,0.68,0.670820393249937,1,0,0,"white","tomato"
"91",2017-07-14 23:00:00,2017-08-01 23:00:00,0.233063577345866,0.76,0.790569415042095,1,0,0,"white","tomato"
"92",2017-07-14 23:00:00,2017-08-02 11:00:00,0.546812238448629,0.02,0.688247201611685,0.99,0.01,0.0133448873483536,"cornflowerblue","tomato"
"93",2017-07-14 23:00:00,2017-08-02 23:00:00,0.0944552287881104,0.11,0.553398590529466,1,0,0,"white","tomato"
"94",2017-07-14 23:00:00,2017-08-03 11:00:00,0.48293063042545,0.96,0.7,1,0,0,"tomato","tomato"
"95",2017-07-14 23:00:00,2017-08-03 23:00:00,0.214895824912327,0.49,0.505181485540923,0.9,0.1,0.112903225806452,"white","white"
"96",2017-07-14 23:00:00,2017-08-04 11:00:00,0.291920103950697,0.8,0.630893268144045,1,0,0,"white","tomato"
"97",2017-07-14 23:00:00,2017-08-04 23:00:00,0.201350422361383,0.71,0.306186217847897,0.9,0.1,0.112903225806452,"white","white"
"98",2017-07-14 23:00:00,2017-08-05 11:00:00,0.598302148576918,0.98,0.557086014531156,0.74,0.26,0.272010869565217,"tomato","white"
"99",2017-07-14 23:00:00,2017-08-05 23:00:00,0.236873346268034,0.99,0.322748612183951,1,0,0,"tomato","tomato"
"100",2017-07-14 23:00:00,2017-08-06 11:00:00,0.286877323168101,0.8,0.516185401208764,1,0,0,"white","tomato"
"101",2017-07-14 23:00:00,2017-08-06 23:00:00,0.342586450062077,1,0.376889180722205,0.89,0.11,0.122931785195936,"tomato","white"
"102",2017-07-14 23:00:00,2017-08-07 11:00:00,0.400989272803423,1,0.614192268639994,1,0,0,"tomato","tomato"
"103",2017-07-14 23:00:00,2017-08-07 23:00:00,0.272329154175752,1,0.28347335475692,0,0,0,"tomato","cornflowerblue"
"104",2017-07-14 23:00:00,2017-08-08 11:00:00,0.284732617981042,0.5,0.677671845685493,1,0,0,"white","tomato"
"105",2017-07-14 23:00:00,2017-08-08 23:00:00,0.157057600753449,0.51,0.516397779494322,0.99,0.01,0.0133448873483536,"white","tomato"
"106",2017-07-14 23:00:00,2017-08-09 11:00:00,0.339763822698788,0.82,0.533001790889026,1,0,0,"white","tomato"
"107",2017-07-14 23:00:00,2017-08-09 23:00:00,0.207953718991612,0.99,0.353553390593274,0.98,0.02,0.0252873563218391,"tomato","tomato"
"108",2017-07-14 23:00:00,2017-08-10 11:00:00,0.395291301765066,0.83,0.686406472983644,1,0,0,"white","tomato"
"109",2017-07-14 23:00:00,2017-08-10 23:00:00,0.144496066848464,0.87,0.601337794302955,1,0,0,"white","tomato"
"110",2017-07-15 11:00:00,2017-07-15 23:00:00,0.529235345450131,0.37,0.612372435695794,1,0,0,"white","tomato"
"111",2017-07-15 11:00:00,2017-07-16 11:00:00,0.494839248666637,0.82,0.769800358919501,1,0,0,"white","tomato"
"112",2017-07-15 11:00:00,2017-07-16 23:00:00,0.469246694747613,0.77,0.707106781186548,1,0,0,"white","tomato"
"113",2017-07-15 11:00:00,2017-07-17 11:00:00,0.415574063706899,0.78,0.688062462056187,1,0,0,"white","tomato"
"114",2017-07-15 11:00:00,2017-07-17 23:00:00,0.386888218258438,0.51,0.471404520791032,0.97,0.03,0.0371980676328503,"white","tomato"
"115",2017-07-15 11:00:00,2017-07-18 11:00:00,0.54810352969826,1,0.693375245281536,1,0,0,"tomato","tomato"
"116",2017-07-15 11:00:00,2017-07-18 23:00:00,0.595011803913523,1,0.639602149066831,1,0,0,"tomato","tomato"
"117",2017-07-15 11:00:00,2017-07-19 11:00:00,0.57704773494067,0.9,0.785825277985741,1,0,0,"white","tomato"
"118",2017-07-15 11:00:00,2017-07-19 23:00:00,0.54098175795611,0.73,0.568535243614961,0.95,0.05,0.0590490797546013,"white","white"
"119",2017-07-15 11:00:00,2017-07-20 11:00:00,0.328742207391827,0.58,0.638915143337888,1,0,0,"white","tomato"
"120",2017-07-15 11:00:00,2017-07-20 23:00:00,0.0979093040441558,0.45,0.416666666666667,0.98,0.02,0.0252873563218391,"white","tomato"
"121",2017-07-15 11:00:00,2017-07-21 11:00:00,0.290002032170153,0.49,0.721687836487032,1,0,0,"white","tomato"
"122",2017-07-15 11:00:00,2017-07-21 23:00:00,0.178306098019546,0.61,0.639602149066831,1,0,0,"white","tomato"
"123",2017-07-15 11:00:00,2017-07-22 11:00:00,0.367841101601917,0.45,0.685160159703149,1,0,0,"white","tomato"
"124",2017-07-15 11:00:00,2017-07-22 23:00:00,0.307327769288563,0.13,0.680413817439772,0.98,0.02,0.0252873563218391,"white","tomato"
"125",2017-07-15 11:00:00,2017-07-23 11:00:00,0.389992891495543,0.99,0.688062462056187,1,0,0,"tomato","tomato"
"126",2017-07-15 11:00:00,2017-07-23 23:00:00,0.405036119474705,0.98,0.356348322549899,0.99,0.01,0.0133448873483536,"tomato","tomato"
"127",2017-07-15 11:00:00,2017-07-24 11:00:00,0.373885302228337,0.24,0.632455532033676,0.98,0.02,0.0252873563218391,"white","tomato"
"128",2017-07-15 11:00:00,2017-07-24 23:00:00,0.605034794305143,0.93,0.670820393249937,0.99,0.01,0.0133448873483536,"white","tomato"
"129",2017-07-15 11:00:00,2017-07-25 11:00:00,0.368621004765956,0.8,0.811107105653813,1,0,0,"white","tomato"
"130",2017-07-15 11:00:00,2017-07-25 23:00:00,0.365363476069946,0.92,0.5,0.99,0.01,0.0133448873483536,"white","tomato"
"131",2017-07-15 11:00:00,2017-07-26 11:00:00,0.548463169748083,0.95,0.800326730665041,1,0,0,"white","tomato"
"132",2017-07-15 11:00:00,2017-07-26 23:00:00,0.537071831682981,0.34,0.623609564462324,1,0,0,"white","tomato"
"133",2017-07-15 11:00:00,2017-07-27 11:00:00,0.45492650545942,0.82,0.766032346285427,0.99,0.01,0.0133448873483536,"white","tomato"
"134",2017-07-15 11:00:00,2017-07-27 23:00:00,0.492895013036319,0.61,0.755928946018454,1,0,0,"white","tomato"
"135",2017-07-15 11:00:00,2017-07-28 11:00:00,0.49755209514203,0.77,0.737864787372622,1,0,0,"white","tomato"
"136",2017-07-15 11:00:00,2017-07-28 23:00:00,0.274722797267643,0.48,0.54997194092287,1,0,0,"white","tomato"
"137",2017-07-15 11:00:00,2017-07-29 11:00:00,0.550315103806066,0.97,0.786357099492785,1,0,0,"tomato","tomato"
"138",2017-07-15 11:00:00,2017-07-29 23:00:00,0.576428570360121,0.87,0.816496580927726,1,0,0,"white","tomato"
