Number;Serial_number;Production;Deployment;Chip;Tag;Old_collar;Canyon;Group;Sex;Birth;Weight;Body_length;SMI;David_score;Normalized_David_score;Social_status;Date_on;Date_off;Total_offset;Daily_offset;Data_points;Last_record;Dead_battery;Refurbished;Lost;Comments
104;8508;2019;2019;218922;B5;None;Arugot;Isiim;F;2017;2.7;;;;;F;10/03/2019 11:00;29/08/2019 10:00;-178;-1,03513448;4098;29/08/2019 10:00;No;No;Yes;Collar retreived under 2nd zizifus, on August 29th 2019
25913;25913;2020;2020;218922;SY;None;Arugot;Isiim;F;NA;2.7;;;;;F;24/05/2020 20:00;;;;;;No;No;No;RLB
108;8512;2019;2019;218938;T8;None;David;Bachelor;M;2016;2.45;;;;;BM;24/03/2019 11:00;22/08/2019 09:00;-66;-0,437327443;929;NA;No;No;No;
87;8491;2019;2019;218938;Q7;T8;David;Bachelor;M;2016;2.3;;;;;BM;22/08/2019 10:00;;;;;;No;No;No;
107;8511;2019;2019;218959;G5;None;David;Hill;F;2016;2,2;;;;;F;20/03/2019 09:40;19/09/2019 09:00;-52;-0,284196144;1313;NA;No;No;No;
105;8509;2019;2019;218959;F2;G5;David;Hill;F;2016;1.9;;;;;F;19/09/2019 09:00;14/04/2020 08:00;-585688;-2816,371869;11596;14/04/2020 10:05;No;No;No;
25935;25935;2020;2020;218959;LA;F2;David;Hill;F;2016;2.05;;;;;F;14/04/2020 08:00;;;;;;No;No;No;YBY
89;8493;2019;2019;218994;D3;None;David;Window;F;2015;2.05;;;;;F;04/06/2019 09:00;;;;;;No;No;No;
25912;25912;2020;2020;219063;FL;None;Arugot;Isiim;F;NA;2.14;;;;;F;12/05/2020 12:45;;;;;;No;No;No;LRL
12;8416;2017;2017;219204;FB;None;David;Bachelor;M;<2016;2.85;40;2.132527;-3.57142857142857;13.8768472906404;BM;13/06/2017 19:25;06/09/2017 00:09;51;0,605720695;408;NA;No;No;No;
59;8453;2018;2018;219204;ME;XM;David;Bachelor;M;<2016;NA;;;;;BM;31/05/2018 10:00;;;;;;No;No;No;
38;8442;2017;2017;219247;JQ;None;Arugot;Sukkot;M;<2016;2.95;42;1.96056790272173;11.025;15.3556451612903;RM;30/05/2017 18:45;;;;;;No;No;No;
71;8465;2018;2018;219520;FQ;None;Arugot;Isiim;F;2016;2.575;;;;;F;09/05/2018 10:00;06/04/2019 10:00;1753485;5281,581325;11465;25/01/2019 06:35;Yes;No;No;
112;8516;2019;2019;219520;H8;FQ;Arugot;Isiim;F;2016;2.2;;;;;F;07/03/2019 16:00;NA;NA;NA;NA;NA;No;No;Yes;
25933;25933;2020;2020;219520;UZ;H8;Arugot;Isiim;F;2016;2.6;;;;;F;21/05/2020 09:00;;;;;;No;No;No;BRB
40;8444;2017;2017;219673;AK;None;David;Bachelor;M;<2016;2.8;42;2.10565;-0.766666666666667;13.9735632183908;BM;05/06/2017 11:53;11/07/2017 09:00;-12;-0,334449455;13;NA;No;No;No;
92;8496;2019;2019;219787;A6;None;David;Window;F;2016;2.2;;;;;F;20/03/2019 10:55;;;;;;No;No;No;
34;8438;2017;2017;219789;ZA;None;Arugot;Bachelor;M;<2016;2.85;39.5;2.198717;-2.225;14.9282258064516;BM;20/04/2017 17:00;;;;;;No;No;No;
25911;25911;2020;2020;971343;YJ;NE;David;Window;M;NA;3.05;;;;;RM;21/06/2020 09:30;;;;;;No;No;No;YGR
25929;25929;2020;2020;971343;UP;None;David;Window;M;NA;3.05;;;;;RM;05/04/2020 10:15;29/04/2020 10:00;NA;NA;NA;NA;No;No;No;YLR
25936;25936;2020;2020;971343;NE;UP;David;Window;M;NA;3.05;;;;;RM;29/04/2020 10:00;NA;NA;NA;NA;NA;No;No;No;YYY
25939;25939;2020;2020;971391;QT;None;David;Hill;M;NA;3.4;;;;;BM;19/04/2020 18:30;NA;NA;NA;NA;NA;No;No;No;LBG
25915;25915;2020;2020;;ZC;;;;;;;;;;;;;;;;;;No;No;No;RRR
25917;25917;2020;2020;;BV;;;;;;;;;;;;;;;;;;No;No;No;MMM
25918;25918;2020;2020;;PW;;;;;;;;;;;;;;;;;;No;No;No;RGY
25920;25920;2020;2020;;HW;;;;;;;;;;;;;;;;;;No;No;No;BGY
25921;25921;2020;2020;;MQ;;;;;;;;;;;;;;;;;;No;No;No;LGL
25923;25923;2020;2020;;GN;;;;;;;;;;;;;;;;;;No;No;No;LLL
25932;25932;2020;;;JD;;;;;;;;;;;;;;;;;;No;No;No;Broken, sent back to Sirtrack
25930;25930;2020;;;KO;;;;;;;;;;;;;;;;;;No;No;No;Broken, sent back to Sirtrack
1;8414;2017;;;UZ;;;;;;;;;;;;;;;;;;No;No;No;
28;8432;2017;;;GN;;;;;;;;;;;;;;;;;;Yes;No;No;
30;8434;2017;;;UE;;;;;;;;;;;;;;;;;;Yes;No;No;
31;8422;2017;;;EC;;;;;;;;;;;;;;;;;;Yes;No;No;
35;8439;2017;;;TJ;;;;;;;;;;;;;;;;;;Yes;No;No;
55;8449;2018;;;RL;;;;;;;;;;;;;;;;;;No;No;No;
57;8451;2018;;;LP;;;;;;;;;;;;;;;;;;No;No;No;
60;8454;2018;;;SK;;;;;;;;;;;;;;;;;;No;No;No;
61;8455;2018;;;DE;;;;;;;;;;;;;;;;;;No;No;No;
65;8459;2018;;;NY;;;;;;;;;;;;;;;;;;No;No;No;
70;8464;2018;;;PX;;;;;;;;;;;;;;;;;;No;No;No;
88;8492;2019;;;Q3;;;;;;;;;;;;;;;;;;No;No;No;
90;8494;2019;;;V4;;;;;;;;;;;;;;;;;;No;No;No;
97;8501;2019;;;OX;;;;;;;;;;;;;;;;;;No;No;No;
100;8504;2019;;;S5;;;;;;;;;;;;;;;;;;No;No;No;
106;8510;2019;;;G2;;;;;;;;;;;;;;;;;;No;No;No;
109;8513;2019;;;NA;;;;;;;;;;;;;;;;;;No;No;No;Broken - Sent back to Sirtrack
