"individual1","individual2","dyad","deployment","group","retreived","sex"
"203123","203694","203123:203694",2018,"Between","1_logger","M:M"
"218271","218507","218271:218507",2018,"Between","1_logger","F:M"
"203820","203828","203820:203828",2018,"Within","1_logger","F:F"
"203820","218507","203820:218507",2018,"Within","1_logger","F:F"
"203820","217145","203820:217145",2018,"Within","1_logger","F:F"
"218507","219247","218507:219247",2018,"Within","1_logger","F:M"
"203820","219247","203820:219247",2018,"Within","1_logger","F:M"
"217145","219247","217145:219247",2018,"Within","1_logger","F:M"
"217145","218271","217145:218271",2018,"Between","1_logger","F:M"
"203581","218340","203581:218340",2018,"Between","2_logger","M:M"
"202000","203478","202000:203478",2018,"Within","1_logger","F:F"
"203770","216968","203770:216968",2018,"Within","1_logger","F:M"
"216968","217579","216968:217579",2018,"Within","1_logger","F:M"
"203770","217579","203770:217579",2018,"Within","1_logger","F:F"
"204390","219673","204390:219673",2018,"Between","1_logger","F:M"
"203770","204390","203770:204390",2018,"Within","2_logger","F:F"
"204390","216968","204390:216968",2018,"Within","1_logger","F:M"
"202000","216956","202000:216956",2018,"Within","1_logger","F:F"
"204390","217579","204390:217579",2018,"Within","1_logger","F:F"
"203046","218646","203046:218646",2018,"Between","1_logger","F:F"
"203478","216956","203478:216956",2018,"Within","1_logger","F:F"
"204510","219789","204510:219789",2018,"Within","1_logger","M:M"
"202177","203847","202177:203847",2018,"Between","2_logger","F:M"
"217579","219204","217579:219204",2018,"Between","1_logger","F:M"
"203770","219204","203770:219204",2018,"Between","1_logger","F:M"
"217579","219673","217579:219673",2018,"Between","1_logger","F:M"
"204390","219204","204390:219204",2018,"Between","1_logger","F:M"
"204390","216956","204390:216956",2018,"Between","1_logger","F:F"
"216956","217579","216956:217579",2018,"Between","1_logger","F:F"
"203770","216956","203770:216956",2018,"Between","1_logger","F:F"
"203581","203694","203581:203694",2018,"Between","2_logger","M:M"
"218271","219247","218271:219247",2018,"Between","1_logger","M:M"
"203820","219789","203820:219789",2018,"Between","1_logger","F:M"
"203478","219673","203478:219673",2018,"Between","1_logger","F:M"
"216968","219204","216968:219204",2018,"Between","1_logger","M:M"
"202177","218340","202177:218340",2018,"Between","2_logger","F:M"
"218340","218646","218340:218646",2018,"Between","2_logger","F:M"
"218271","218340","218271:218340",2018,"Within","1_logger","M:M"
"203046","204510","203046:204510",2018,"Between","1_logger","F:M"
"216973","218340","216973:218340",2018,"Within","1_logger","M:M"
"203046","218271","203046:218271",2018,"Between","1_logger","F:M"
"203847","204510","203847:204510",2018,"Within","1_logger","M:M"
"203123","218271","203123:218271",2018,"Within","1_logger","M:M"
"202177","204510","202177:204510",2018,"Between","1_logger","F:M"
"203046","203123","203046:203123",2018,"Between","1_logger","F:M"
"204510","216968","204510:216968",2018,"Between","1_logger","M:M"
"202000","204390","202000:204390",2018,"Between","1_logger","F:F"
