"individual1","individual2","dyad","deployment","group","retreived","sex"
"204390","204390","204390:204390",2018,"Within","2_logger","F:F"
"217941","218646","217941:218646",2018,"Between","1_logger","F:M"
"218646","218922","218646:218922",2018,"Within","1_logger","F:F"
"217222","218959","217222:218959",2018,"Within","1_logger","F:F"
"217564","218646","217564:218646",2018,"Between","1_logger","F:F"
"204390","217222","204390:217222",2018,"Between","1_logger","F:F"
"187214","204390","187214:204390",2018,"Between","2_logger","F:F"
"204390","971343","204390:971343",2018,"Within","1_logger","F:M"
"217222","971391","217222:971391",2018,"Within","1_logger","F:M"
"971343","971343","971343:971343",2018,"Within","1_logger","M:M"
"217732","971343","217732:971343",2018,"Within","1_logger","F:M"
"218959","971391","218959:971391",2018,"Within","1_logger","F:M"
"216996","217941","216996:217941",2018,"Within","1_logger","F:M"
"218068","219520","218068:219520",2018,"Between","1_logger","F:F"
"217941","218068","217941:218068",2018,"Within","1_logger","F:M"
"217222","971343","217222:971343",2018,"Between","1_logger","F:M"
"217564","219520","217564:219520",2018,"Between","1_logger","F:F"
"216996","218068","216996:218068",2018,"Within","1_logger","F:F"
"217564","218068","217564:218068",2018,"Within","1_logger","F:F"
"216996","217564","216996:217564",2018,"Within","1_logger","F:F"
"216851","219063","216851:219063",2018,"Within","1_logger","F:F"
"216851","218646","216851:218646",2018,"Within","1_logger","F:F"
"218646","219063","218646:219063",2018,"Within","1_logger","F:F"
"217941","219520","217941:219520",2018,"Between","1_logger","F:M"
"217941","219063","217941:219063",2018,"Between","1_logger","F:M"
"219063","219520","219063:219520",2018,"Within","1_logger","F:F"
"216851","219520","216851:219520",2018,"Within","1_logger","F:F"
"216851","217941","216851:217941",2018,"Between","1_logger","F:M"
"218922","219063","218922:219063",2018,"Within","1_logger","F:F"
"216851","218922","216851:218922",2018,"Within","1_logger","F:F"
"216996","218646","216996:218646",2018,"Between","1_logger","F:F"
"218959","971343","218959:971343",2018,"Between","1_logger","F:M"
"204390","217732","204390:217732",2018,"Within","2_logger","F:F"
"217222","217732","217222:217732",2018,"Between","1_logger","F:F"
"217732","218959","217732:218959",2018,"Between","1_logger","F:F"
"216851","217564","216851:217564",2018,"Between","1_logger","F:F"
"203694","204399","203694:204399",2019,"Within","1_logger","F:M"
"217145","218340","217145:218340",2019,"Between","1_logger","F:M"
"203847","204399","203847:204399",2019,"Between","1_logger","F:M"
"203046","203694","203046:203694",2019,"Within","1_logger","F:M"
"203046","204399","203046:204399",2019,"Within","1_logger","F:F"
"203847","219789","203847:219789",2019,"Within","1_logger","M:M"
"203046","203847","203046:203847",2019,"Between","1_logger","F:M"
"203828","217145","203828:217145",2019,"Within","1_logger","F:F"
"203847","218271","203847:218271",2019,"Within","1_logger","M:M"
"203694","203847","203694:203847",2019,"Between","1_logger","M:M"
"203828","218507","203828:218507",2019,"Within","1_logger","F:F"
"217145","218507","217145:218507",2019,"Within","1_logger","F:F"
"203694","219789","203694:219789",2019,"Between","1_logger","M:M"
"218271","219789","218271:219789",2019,"Within","1_logger","M:M"
"218340","219789","218340:219789",2019,"Within","1_logger","M:M"
"203694","218271","203694:218271",2019,"Between","1_logger","M:M"
"203123","203847","203123:203847",2019,"Within","1_logger","M:M"
"203123","219789","203123:219789",2019,"Within","1_logger","M:M"
"217888","218340","217888:218340",2019,"Within","1_logger","M:M"
"203847","218646","203847:218646",2019,"Between","1_logger","F:M"
"203123","218340","203123:218340",2019,"Within","1_logger","M:M"
"203581","218646","203581:218646",2019,"Within","1_logger","F:M"
"203123","204510","203123:204510",2019,"Within","1_logger","M:M"
"204399","218340","204399:218340",2019,"Between","1_logger","F:M"
"202119","218646","202119:218646",2019,"Within","1_logger","F:F"
"203581","203847","203581:203847",2019,"Between","1_logger","M:M"
"202119","202177","202119:202177",2019,"Within","1_logger","F:F"
"202177","203581","202177:203581",2019,"Within","1_logger","F:M"
"202119","203581","202119:203581",2019,"Within","1_logger","F:M"
"202177","218646","202177:218646",2019,"Within","1_logger","F:F"
"217888","219789","217888:219789",2019,"Within","1_logger","M:M"
"218646","219789","218646:219789",2019,"Between","1_logger","F:M"
"202119","204510","202119:204510",2019,"Between","1_logger","F:M"
"204510","218340","204510:218340",2019,"Within","1_logger","M:M"
"202119","218340","202119:218340",2019,"Between","1_logger","F:M"
"202119","203123","202119:203123",2019,"Between","1_logger","F:M"
"203847","218340","203847:218340",2019,"Within","1_logger","M:M"
"202119","203847","202119:203847",2019,"Between","1_logger","F:M"
"203694","218340","203694:218340",2019,"Between","1_logger","M:M"
"203694","204510","203694:204510",2019,"Between","1_logger","M:M"
"204510","217888","204510:217888",2019,"Within","1_logger","M:M"
"203123","217888","203123:217888",2019,"Within","1_logger","M:M"
"203828","218271","203828:218271",2019,"Between","1_logger","F:M"
"203123","203694","203123:203694",2019,"Between","1_logger","M:M"
"218271","218507","218271:218507",2019,"Between","1_logger","F:M"
"203820","203828","203820:203828",2019,"Within","1_logger","F:F"
"203820","218507","203820:218507",2019,"Within","1_logger","F:F"
"203820","217145","203820:217145",2019,"Within","1_logger","F:F"
"218507","219247","218507:219247",2019,"Within","1_logger","F:M"
"203820","219247","203820:219247",2019,"Within","1_logger","F:M"
"217145","219247","217145:219247",2019,"Within","1_logger","F:M"
"217145","218271","217145:218271",2019,"Between","1_logger","F:M"
"203581","218340","203581:218340",2019,"Between","1_logger","M:M"
"202000","203478","202000:203478",2019,"Within","1_logger","F:F"
"203770","216968","203770:216968",2019,"Within","1_logger","F:M"
"216968","217579","216968:217579",2019,"Within","1_logger","F:M"
"203770","217579","203770:217579",2019,"Within","1_logger","F:F"
"204390","219673","204390:219673",2019,"Between","1_logger","F:M"
"203770","204390","203770:204390",2019,"Within","2_logger","F:F"
"204390","216968","204390:216968",2019,"Within","1_logger","F:M"
"202000","216956","202000:216956",2019,"Within","1_logger","F:F"
"204390","217579","204390:217579",2019,"Within","1_logger","F:F"
"203046","218646","203046:218646",2019,"Between","1_logger","F:F"
"203478","216956","203478:216956",2019,"Within","1_logger","F:F"
"204510","219789","204510:219789",2019,"Within","1_logger","M:M"
"202177","203847","202177:203847",2019,"Between","1_logger","F:M"
"217579","219204","217579:219204",2019,"Between","1_logger","F:M"
"203770","219204","203770:219204",2019,"Between","1_logger","F:M"
"217579","219673","217579:219673",2019,"Between","1_logger","F:M"
"204390","219204","204390:219204",2019,"Between","1_logger","F:M"
"204390","216956","204390:216956",2019,"Between","1_logger","F:F"
"216956","217579","216956:217579",2019,"Between","1_logger","F:F"
"203770","216956","203770:216956",2019,"Between","1_logger","F:F"
"203581","203694","203581:203694",2019,"Between","1_logger","M:M"
"218271","219247","218271:219247",2019,"Between","1_logger","M:M"
"203820","219789","203820:219789",2019,"Between","1_logger","F:M"
"203478","219673","203478:219673",2019,"Between","1_logger","F:M"
"216968","219204","216968:219204",2019,"Between","1_logger","M:M"
"202177","218340","202177:218340",2019,"Between","1_logger","F:M"
"218340","218646","218340:218646",2019,"Between","1_logger","F:M"
"218271","218340","218271:218340",2019,"Within","1_logger","M:M"
"203046","204510","203046:204510",2019,"Between","1_logger","F:M"
"216973","218340","216973:218340",2019,"Within","1_logger","M:M"
"203046","218271","203046:218271",2019,"Between","1_logger","F:M"
"203847","204510","203847:204510",2019,"Within","1_logger","M:M"
"203123","218271","203123:218271",2019,"Within","1_logger","M:M"
"202177","204510","202177:204510",2019,"Between","1_logger","F:M"
"203046","203123","203046:203123",2019,"Between","1_logger","F:M"
"204510","216968","204510:216968",2019,"Between","1_logger","M:M"
"202000","204390","202000:204390",2019,"Between","1_logger","F:F"
"202000","219673","202000:219673",2019,"Between","1_logger","F:M"
"203828","204510","203828:204510",2019,"Between","1_logger","F:M"
"204510","218507","204510:218507",2019,"Between","1_logger","F:M"
"204510","217145","204510:217145",2019,"Between","1_logger","F:M"
"216956","219673","216956:219673",2019,"Between","1_logger","F:M"
"202119","217145","202119:217145",2019,"Between","1_logger","F:F"
"216968","219247","216968:219247",2019,"Between","1_logger","M:M"
"216893","216968","216893:216968",2019,"Between","1_logger","M:M"
"202000","217579","202000:217579",2019,"Between","1_logger","F:F"
"202000","216893","202000:216893",2019,"Between","1_logger","F:M"
"216956","216968","216956:216968",2019,"Between","1_logger","F:M"
"202523","204390","202523:204390",2019,"Within","1_logger","F:M"
"216973","217888","216973:217888",2019,"Within","1_logger","M:M"
"202523","217579","202523:217579",2019,"Within","1_logger","F:M"
"203478","216893","203478:216893",2019,"Between","1_logger","F:M"
"216893","216956","216893:216956",2019,"Between","1_logger","F:M"
"203046","203581","203046:203581",2019,"Between","1_logger","F:M"
"204399","218271","204399:218271",2019,"Between","1_logger","F:M"
"204399","204510","204399:204510",2019,"Between","1_logger","F:M"
"204510","218271","204510:218271",2019,"Within","1_logger","M:M"
"204510","216956","204510:216956",2019,"Between","1_logger","F:M"
"203847","217888","203847:217888",2019,"Within","1_logger","M:M"
"202523","216968","202523:216968",2019,"Within","1_logger","M:M"
"202000","219204","202000:219204",2019,"Between","1_logger","F:M"
"216956","219204","216956:219204",2019,"Between","1_logger","F:M"
"202523","216956","202523:216956",2019,"Between","1_logger","F:M"
"202000","202523","202000:202523",2019,"Between","1_logger","F:M"
"217888","218646","217888:218646",2019,"Between","1_logger","F:M"
"203581","217888","203581:217888",2019,"Between","1_logger","M:M"
"202523","203478","202523:203478",2019,"Between","1_logger","F:M"
"203694","217888","203694:217888",2019,"Between","1_logger","M:M"
"203581","204399","203581:204399",2019,"Between","1_logger","F:M"
"202119","204399","202119:204399",2019,"Between","1_logger","F:F"
"204399","218646","204399:218646",2019,"Between","1_logger","F:F"
"202523","203770","202523:203770",2019,"Within","1_logger","F:M"
"203046","217888","203046:217888",2019,"Between","1_logger","F:M"
"202523","219204","202523:219204",2019,"Between","1_logger","M:M"
"202177","217888","202177:217888",2019,"Between","1_logger","F:M"
"202177","204399","202177:204399",2019,"Between","1_logger","F:F"
"202177","203046","202177:203046",2019,"Between","1_logger","F:F"
"202119","217888","202119:217888",2019,"Between","1_logger","F:M"
"202119","203046","202119:203046",2019,"Between","1_logger","F:F"
"204399","217888","204399:217888",2019,"Between","1_logger","F:M"
"203770","204510","203770:204510",2019,"Between","1_logger","F:M"
"203478","216968","203478:216968",2019,"Between","1_logger","F:M"
"203478","217579","203478:217579",2019,"Between","1_logger","F:F"
"203140","218340","203140:218340",2019,"Within","1_logger","M:M"
"203140","217888","203140:217888",2019,"Within","1_logger","M:M"
"203140","203694","203140:203694",2019,"Between","1_logger","M:M"
"203581","216956","203581:216956",2019,"Between","1_logger","F:M"
"202285","204390","202285:204390",2019,"Within","1_logger","F:F"
"202285","203770","202285:203770",2019,"Within","1_logger","F:F"
"202119","219520","202119:219520",2019,"Within","1_logger","F:F"
"218646","219520","218646:219520",2019,"Within","1_logger","F:F"
"202177","219520","202177:219520",2019,"Within","1_logger","F:F"
"204390","218594","204390:218594",2019,"Between","1_logger","F:M"
"203478","204390","203478:204390",2019,"Between","1_logger","F:F"
"203770","218594","203770:218594",2019,"Between","1_logger","F:M"
"203140","203847","203140:203847",2019,"Within","1_logger","M:M"
"187214","203478","187214:203478",2019,"Within","1_logger","F:F"
"202119","203694","202119:203694",2019,"Between","1_logger","F:M"
"203140","204510","203140:204510",2019,"Within","1_logger","M:M"
"203478","203770","203478:203770",2019,"Between","1_logger","F:F"
"187214","202285","187214:202285",2019,"Between","1_logger","F:F"
"203581","219520","203581:219520",2019,"Within","1_logger","F:M"
"204390","217772","204390:217772",2019,"Between","1_logger","F:M"
"204510","218646","204510:218646",2019,"Between","1_logger","F:M"
"204510","219520","204510:219520",2019,"Between","1_logger","F:M"
"203581","204510","203581:204510",2019,"Between","1_logger","M:M"
"203694","218646","203694:218646",2019,"Between","1_logger","F:M"
"203140","218646","203140:218646",2019,"Between","1_logger","F:M"
"202119","203140","202119:203140",2019,"Between","1_logger","F:M"
"203140","203581","203140:203581",2019,"Between","1_logger","M:M"
"203694","203694","203694:203694",2019,"Within","1_logger","M:M"
"217888","219520","217888:219520",2019,"Between","1_logger","F:M"
"218340","219520","218340:219520",2019,"Between","1_logger","F:M"
"202177","203694","202177:203694",2019,"Between","1_logger","F:M"
"203694","219520","203694:219520",2019,"Between","1_logger","F:M"
"187214","217579","187214:217579",2019,"Between","1_logger","F:F"
"202177","202177","202177:202177",2019,"Within","1_logger","F:F"
"202177","217564","202177:217564",2019,"Between","1_logger","F:F"
"203694","217167","203694:217167",2019,"Between","1_logger","M:M"
"217167","217888","217167:217888",2019,"Within","1_logger","M:M"
"203694","217564","203694:217564",2019,"Within","1_logger","F:M"
"202119","218922","202119:218922",2019,"Within","1_logger","F:F"
"218922","219520","218922:219520",2019,"Within","1_logger","F:F"
"202177","218922","202177:218922",2019,"Within","1_logger","F:F"
"203140","217564","203140:217564",2019,"Between","1_logger","F:M"
"203847","217564","203847:217564",2019,"Between","1_logger","F:M"
"204390","219787","204390:219787",2019,"Within","1_logger","F:F"
"203140","217167","203140:217167",2019,"Within","1_logger","M:M"
"204390","216920","204390:216920",2019,"Within","1_logger","F:F"
"203770","219787","203770:219787",2019,"Within","1_logger","F:F"
"203770","216920","203770:216920",2019,"Within","1_logger","F:F"
"204390","216875","204390:216875",2019,"Between","1_logger","F:M"
"204390","216893","204390:216893",2019,"Between","1_logger","F:M"
"203770","216893","203770:216893",2019,"Between","1_logger","F:M"
"203770","218938","203770:218938",2019,"Between","2_logger","F:M"
"216920","218938","216920:218938",2019,"Between","1_logger","F:M"
"204390","218959","204390:218959",2019,"Between","2_logger","F:F"
"216875","218938","216875:218938",2019,"Within","1_logger","M:M"
"216893","218938","216893:218938",2019,"Within","1_logger","M:M"
"204390","218938","204390:218938",2019,"Between","2_logger","F:M"
"202177","217167","202177:217167",2019,"Between","1_logger","F:M"
"203770","216875","203770:216875",2019,"Between","1_logger","F:M"
"203770","218959","203770:218959",2019,"Between","2_logger","F:F"
"216875","218959","216875:218959",2019,"Between","1_logger","F:M"
"217167","217564","217167:217564",2019,"Between","2_logger","F:M"
"217941","218922","217941:218922",2019,"Between","1_logger","F:M"
"203770","218994","203770:218994",2019,"Within","1_logger","F:F"
"187214","218959","187214:218959",2019,"Within","1_logger","F:F"
"204390","218994","204390:218994",2019,"Within","1_logger","F:F"
"218938","218994","218938:218994",2019,"Between","1_logger","F:M"
"217564","217941","217564:217941",2019,"Within","1_logger","F:M"
"217564","218922","217564:218922",2019,"Between","2_logger","F:F"
"216920","218959","216920:218959",2019,"Between","1_logger","F:F"
"218938","218959","218938:218959",2019,"Between","2_logger","F:M"
"187214","218938","187214:218938",2019,"Between","1_logger","F:M"
"218959","218994","218959:218994",2019,"Between","1_logger","F:F"
"187214","203770","187214:203770",2019,"Between","1_logger","F:F"
"218959","218959","218959:218959",2019,"Within","2_logger","F:F"
"187214","217222","187214:217222",2019,"Within","1_logger","F:F"
"204390","204390","204390:204390",2019,"Within","2_logger","F:F"
"217941","218646","217941:218646",2019,"Between","1_logger","F:M"
"218646","218922","218646:218922",2019,"Within","2_logger","F:F"
"217222","218959","217222:218959",2019,"Within","2_logger","F:F"
"217564","218646","217564:218646",2019,"Between","2_logger","F:F"
"204390","217222","204390:217222",2019,"Between","2_logger","F:F"
"187214","204390","187214:204390",2019,"Between","1_logger","F:F"
"204390","971343","204390:971343",2019,"Within","1_logger","F:M"
"217222","971391","217222:971391",2019,"Within","1_logger","F:M"
"971343","971343","971343:971343",2019,"Within","1_logger","M:M"
"217732","971343","217732:971343",2019,"Within","1_logger","F:M"
"218959","971391","218959:971391",2019,"Within","1_logger","F:M"
"216996","217941","216996:217941",2019,"Within","1_logger","F:M"
"218068","219520","218068:219520",2019,"Between","1_logger","F:F"
"217941","218068","217941:218068",2019,"Within","1_logger","F:M"
"217222","971343","217222:971343",2019,"Between","1_logger","F:M"
"217564","219520","217564:219520",2019,"Between","1_logger","F:F"
"216996","218068","216996:218068",2019,"Within","1_logger","F:F"
"217564","218068","217564:218068",2019,"Within","1_logger","F:F"
"216996","217564","216996:217564",2019,"Within","1_logger","F:F"
"216851","219063","216851:219063",2019,"Within","1_logger","F:F"
"216851","218646","216851:218646",2019,"Within","1_logger","F:F"
"218646","219063","218646:219063",2019,"Within","1_logger","F:F"
"217941","219520","217941:219520",2019,"Between","1_logger","F:M"
"217941","219063","217941:219063",2019,"Between","1_logger","F:M"
"219063","219520","219063:219520",2019,"Within","1_logger","F:F"
"216851","219520","216851:219520",2019,"Within","1_logger","F:F"
"216851","217941","216851:217941",2019,"Between","1_logger","F:M"
"218922","219063","218922:219063",2019,"Within","1_logger","F:F"
"216851","218922","216851:218922",2019,"Within","1_logger","F:F"
"216996","218646","216996:218646",2019,"Between","1_logger","F:F"
"218959","971343","218959:971343",2019,"Between","1_logger","F:M"
"204390","217732","204390:217732",2019,"Within","1_logger","F:F"
"217222","217732","217222:217732",2019,"Between","1_logger","F:F"
"217732","218959","217732:218959",2019,"Between","1_logger","F:F"
"216851","217564","216851:217564",2019,"Between","1_logger","F:F"
"203694","204399","203694:204399",2020,"Within","1_logger","F:M"
"217145","218340","217145:218340",2020,"Between","1_logger","F:M"
"203847","204399","203847:204399",2020,"Between","1_logger","F:M"
"203046","203694","203046:203694",2020,"Within","1_logger","F:M"
"203046","204399","203046:204399",2020,"Within","1_logger","F:F"
"203847","219789","203847:219789",2020,"Within","1_logger","M:M"
"203046","203847","203046:203847",2020,"Between","1_logger","F:M"
"203828","217145","203828:217145",2020,"Within","1_logger","F:F"
"203847","218271","203847:218271",2020,"Within","1_logger","M:M"
"203694","203847","203694:203847",2020,"Between","1_logger","M:M"
"203828","218507","203828:218507",2020,"Within","1_logger","F:F"
"217145","218507","217145:218507",2020,"Within","1_logger","F:F"
"203694","219789","203694:219789",2020,"Between","1_logger","M:M"
"218271","219789","218271:219789",2020,"Within","1_logger","M:M"
"218340","219789","218340:219789",2020,"Within","1_logger","M:M"
"203694","218271","203694:218271",2020,"Between","1_logger","M:M"
"203123","203847","203123:203847",2020,"Within","1_logger","M:M"
"203123","219789","203123:219789",2020,"Within","1_logger","M:M"
"217888","218340","217888:218340",2020,"Within","1_logger","M:M"
"203847","218646","203847:218646",2020,"Between","1_logger","F:M"
"203123","218340","203123:218340",2020,"Within","1_logger","M:M"
"203581","218646","203581:218646",2020,"Within","1_logger","F:M"
"203123","204510","203123:204510",2020,"Within","1_logger","M:M"
"204399","218340","204399:218340",2020,"Between","1_logger","F:M"
"202119","218646","202119:218646",2020,"Within","1_logger","F:F"
"203581","203847","203581:203847",2020,"Between","1_logger","M:M"
"202119","202177","202119:202177",2020,"Within","1_logger","F:F"
"202177","203581","202177:203581",2020,"Within","1_logger","F:M"
"202119","203581","202119:203581",2020,"Within","1_logger","F:M"
"202177","218646","202177:218646",2020,"Within","1_logger","F:F"
"217888","219789","217888:219789",2020,"Within","1_logger","M:M"
"218646","219789","218646:219789",2020,"Between","1_logger","F:M"
"202119","204510","202119:204510",2020,"Between","1_logger","F:M"
"204510","218340","204510:218340",2020,"Within","1_logger","M:M"
"202119","218340","202119:218340",2020,"Between","1_logger","F:M"
"202119","203123","202119:203123",2020,"Between","1_logger","F:M"
"203847","218340","203847:218340",2020,"Within","1_logger","M:M"
"202119","203847","202119:203847",2020,"Between","1_logger","F:M"
"203694","218340","203694:218340",2020,"Between","1_logger","M:M"
"203694","204510","203694:204510",2020,"Between","1_logger","M:M"
"204510","217888","204510:217888",2020,"Within","1_logger","M:M"
"203123","217888","203123:217888",2020,"Within","1_logger","M:M"
"203828","218271","203828:218271",2020,"Between","1_logger","F:M"
"203123","203694","203123:203694",2020,"Between","1_logger","M:M"
"218271","218507","218271:218507",2020,"Between","1_logger","F:M"
"203820","203828","203820:203828",2020,"Within","1_logger","F:F"
"203820","218507","203820:218507",2020,"Within","1_logger","F:F"
"203820","217145","203820:217145",2020,"Within","1_logger","F:F"
"218507","219247","218507:219247",2020,"Within","1_logger","F:M"
"203820","219247","203820:219247",2020,"Within","1_logger","F:M"
"217145","219247","217145:219247",2020,"Within","1_logger","F:M"
"217145","218271","217145:218271",2020,"Between","1_logger","F:M"
"203581","218340","203581:218340",2020,"Between","1_logger","M:M"
"202000","203478","202000:203478",2020,"Within","1_logger","F:F"
"203770","216968","203770:216968",2020,"Within","1_logger","F:M"
"216968","217579","216968:217579",2020,"Within","1_logger","F:M"
"203770","217579","203770:217579",2020,"Within","1_logger","F:F"
"204390","219673","204390:219673",2020,"Between","1_logger","F:M"
"203770","204390","203770:204390",2020,"Within","1_logger","F:F"
"204390","216968","204390:216968",2020,"Within","1_logger","F:M"
"202000","216956","202000:216956",2020,"Within","1_logger","F:F"
"204390","217579","204390:217579",2020,"Within","1_logger","F:F"
"203046","218646","203046:218646",2020,"Between","1_logger","F:F"
"203478","216956","203478:216956",2020,"Within","1_logger","F:F"
"204510","219789","204510:219789",2020,"Within","1_logger","M:M"
"202177","203847","202177:203847",2020,"Between","1_logger","F:M"
"217579","219204","217579:219204",2020,"Between","1_logger","F:M"
"203770","219204","203770:219204",2020,"Between","1_logger","F:M"
"217579","219673","217579:219673",2020,"Between","1_logger","F:M"
"204390","219204","204390:219204",2020,"Between","1_logger","F:M"
"204390","216956","204390:216956",2020,"Between","1_logger","F:F"
"216956","217579","216956:217579",2020,"Between","1_logger","F:F"
"203770","216956","203770:216956",2020,"Between","1_logger","F:F"
"203581","203694","203581:203694",2020,"Between","1_logger","M:M"
"218271","219247","218271:219247",2020,"Between","1_logger","M:M"
"203820","219789","203820:219789",2020,"Between","1_logger","F:M"
"203478","219673","203478:219673",2020,"Between","1_logger","F:M"
"216968","219204","216968:219204",2020,"Between","1_logger","M:M"
"202177","218340","202177:218340",2020,"Between","1_logger","F:M"
"218340","218646","218340:218646",2020,"Between","1_logger","F:M"
"218271","218340","218271:218340",2020,"Within","1_logger","M:M"
"203046","204510","203046:204510",2020,"Between","1_logger","F:M"
"216973","218340","216973:218340",2020,"Within","1_logger","M:M"
"203046","218271","203046:218271",2020,"Between","1_logger","F:M"
"203847","204510","203847:204510",2020,"Within","1_logger","M:M"
"203123","218271","203123:218271",2020,"Within","1_logger","M:M"
"202177","204510","202177:204510",2020,"Between","1_logger","F:M"
"203046","203123","203046:203123",2020,"Between","1_logger","F:M"
"204510","216968","204510:216968",2020,"Between","1_logger","M:M"
"202000","204390","202000:204390",2020,"Between","1_logger","F:F"
"202000","219673","202000:219673",2020,"Between","1_logger","F:M"
"203828","204510","203828:204510",2020,"Between","1_logger","F:M"
"204510","218507","204510:218507",2020,"Between","1_logger","F:M"
"204510","217145","204510:217145",2020,"Between","1_logger","F:M"
"216956","219673","216956:219673",2020,"Between","1_logger","F:M"
"202119","217145","202119:217145",2020,"Between","1_logger","F:F"
"216968","219247","216968:219247",2020,"Between","1_logger","M:M"
"216893","216968","216893:216968",2020,"Between","1_logger","M:M"
"202000","217579","202000:217579",2020,"Between","1_logger","F:F"
"202000","216893","202000:216893",2020,"Between","1_logger","F:M"
"216956","216968","216956:216968",2020,"Between","1_logger","F:M"
"202523","204390","202523:204390",2020,"Within","1_logger","F:M"
"216973","217888","216973:217888",2020,"Within","1_logger","M:M"
"202523","217579","202523:217579",2020,"Within","1_logger","F:M"
"203478","216893","203478:216893",2020,"Between","1_logger","F:M"
"216893","216956","216893:216956",2020,"Between","1_logger","F:M"
"203046","203581","203046:203581",2020,"Between","1_logger","F:M"
"204399","218271","204399:218271",2020,"Between","1_logger","F:M"
"204399","204510","204399:204510",2020,"Between","1_logger","F:M"
"204510","218271","204510:218271",2020,"Within","1_logger","M:M"
"204510","216956","204510:216956",2020,"Between","1_logger","F:M"
"203847","217888","203847:217888",2020,"Within","1_logger","M:M"
"202523","216968","202523:216968",2020,"Within","1_logger","M:M"
"202000","219204","202000:219204",2020,"Between","1_logger","F:M"
"216956","219204","216956:219204",2020,"Between","1_logger","F:M"
"202523","216956","202523:216956",2020,"Between","1_logger","F:M"
"202000","202523","202000:202523",2020,"Between","1_logger","F:M"
"217888","218646","217888:218646",2020,"Between","1_logger","F:M"
"203581","217888","203581:217888",2020,"Between","1_logger","M:M"
"202523","203478","202523:203478",2020,"Between","1_logger","F:M"
"203694","217888","203694:217888",2020,"Between","1_logger","M:M"
"203581","204399","203581:204399",2020,"Between","1_logger","F:M"
"202119","204399","202119:204399",2020,"Between","1_logger","F:F"
"204399","218646","204399:218646",2020,"Between","1_logger","F:F"
"202523","203770","202523:203770",2020,"Within","1_logger","F:M"
"203046","217888","203046:217888",2020,"Between","1_logger","F:M"
"202523","219204","202523:219204",2020,"Between","1_logger","M:M"
"202177","217888","202177:217888",2020,"Between","1_logger","F:M"
"202177","204399","202177:204399",2020,"Between","1_logger","F:F"
"202177","203046","202177:203046",2020,"Between","1_logger","F:F"
"202119","217888","202119:217888",2020,"Between","1_logger","F:M"
"202119","203046","202119:203046",2020,"Between","1_logger","F:F"
"204399","217888","204399:217888",2020,"Between","1_logger","F:M"
"203770","204510","203770:204510",2020,"Between","1_logger","F:M"
"203478","216968","203478:216968",2020,"Between","1_logger","F:M"
"203478","217579","203478:217579",2020,"Between","1_logger","F:F"
"203140","218340","203140:218340",2020,"Within","1_logger","M:M"
"203140","217888","203140:217888",2020,"Within","1_logger","M:M"
"203140","203694","203140:203694",2020,"Between","1_logger","M:M"
"203581","216956","203581:216956",2020,"Between","1_logger","F:M"
"202285","204390","202285:204390",2020,"Within","1_logger","F:F"
"202285","203770","202285:203770",2020,"Within","1_logger","F:F"
"202119","219520","202119:219520",2020,"Within","1_logger","F:F"
"218646","219520","218646:219520",2020,"Within","1_logger","F:F"
"202177","219520","202177:219520",2020,"Within","1_logger","F:F"
"204390","218594","204390:218594",2020,"Between","1_logger","F:M"
"203478","204390","203478:204390",2020,"Between","1_logger","F:F"
"203770","218594","203770:218594",2020,"Between","1_logger","F:M"
"203140","203847","203140:203847",2020,"Within","1_logger","M:M"
"187214","203478","187214:203478",2020,"Within","1_logger","F:F"
"202119","203694","202119:203694",2020,"Between","1_logger","F:M"
"203140","204510","203140:204510",2020,"Within","1_logger","M:M"
"203478","203770","203478:203770",2020,"Between","1_logger","F:F"
"187214","202285","187214:202285",2020,"Between","1_logger","F:F"
"203581","219520","203581:219520",2020,"Within","1_logger","F:M"
"204390","217772","204390:217772",2020,"Between","1_logger","F:M"
"204510","218646","204510:218646",2020,"Between","1_logger","F:M"
"204510","219520","204510:219520",2020,"Between","1_logger","F:M"
"203581","204510","203581:204510",2020,"Between","1_logger","M:M"
"203694","218646","203694:218646",2020,"Between","1_logger","F:M"
"203140","218646","203140:218646",2020,"Between","1_logger","F:M"
"202119","203140","202119:203140",2020,"Between","1_logger","F:M"
"203140","203581","203140:203581",2020,"Between","1_logger","M:M"
"203694","203694","203694:203694",2020,"Within","1_logger","M:M"
"217888","219520","217888:219520",2020,"Between","1_logger","F:M"
"218340","219520","218340:219520",2020,"Between","1_logger","F:M"
"202177","203694","202177:203694",2020,"Between","1_logger","F:M"
"203694","219520","203694:219520",2020,"Between","1_logger","F:M"
"187214","217579","187214:217579",2020,"Between","1_logger","F:F"
"202177","202177","202177:202177",2020,"Within","1_logger","F:F"
"202177","217564","202177:217564",2020,"Between","1_logger","F:F"
"203694","217167","203694:217167",2020,"Between","1_logger","M:M"
"217167","217888","217167:217888",2020,"Within","1_logger","M:M"
"203694","217564","203694:217564",2020,"Within","1_logger","F:M"
"202119","218922","202119:218922",2020,"Within","1_logger","F:F"
"218922","219520","218922:219520",2020,"Within","1_logger","F:F"
"202177","218922","202177:218922",2020,"Within","1_logger","F:F"
"203140","217564","203140:217564",2020,"Between","1_logger","F:M"
"203847","217564","203847:217564",2020,"Between","1_logger","F:M"
"204390","219787","204390:219787",2020,"Within","1_logger","F:F"
"203140","217167","203140:217167",2020,"Within","1_logger","M:M"
